Specific_Cell_Ontology_ID	Cell_Marker
CL:0000625	CD3D
CL:0000625	PPP1R2
CL:0000625	CD8A
CL:0000625	THUMPD1
CL:0000625	CD8B
CL:0000625	CD8A
CL:0000625	EVER1
CL:0000625	GNLY
CL:0000625	ZEB1
CL:0000625	CBLB
CL:0000625	CD8A
CL:0000625	CD8B
CL:0000625	CD8A
CL:0000625	CD3E
CL:0000625	GZMH
CL:0000625	PRF1
CL:0000625	PRF1
CL:0000625	ZNF91
CL:0000625	CD7
CL:0000625	CD5
CL:0000625	GZMM
CL:0000625	CD3E
CL:0000625	CD8B
CL:0000625	CD3D
CL:0000625	KAT6A
CL:0000625	ZBED2
CL:0000625	ITGAE
CL:0000625	DNAJB1
CL:0000625	CD27
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD3D
CL:0000625	STMN1
CL:0000625	PTPRC
CL:0000625	IL2RA
CL:0000625	CD3D
CL:0000625	ZEB1
CL:0000625	TRAC
CL:0000625	CD8B
CL:0000625	GADD45A
CL:0000625	IFNGAMMA
CL:0000625	PRR5
CL:0000625	MIR155HG
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	CD3E
CL:0000625	TOX
CL:0000625	CD8A
CL:0000625	TTC24
CL:0000625	PPP1R2
CL:0000625	TCRA
CL:0000625	CD8B
CL:0000625	PRR5
CL:0000625	CD2
CL:0000625	CD8B
CL:0000625	C12ORF47
CL:0000625	C12ORF47
CL:0000625	CD8B
CL:0000625	CD8B
CL:0000625	CD8B
CL:0000625	STMN1
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	CD8A
CL:0000625	BICDL1
CL:0000625	MIAT
CL:0000625	CD3E
CL:0000625	GZMM
CL:0000625	PAG1
CL:0000625	CD8A
CL:0000625	KAT6A
CL:0000625	CLEC2D
CL:0000625	CD8B
CL:0000625	CD8B
CL:0000625	ARHGAP8
CL:0000625	CD8A
CL:0000625	CD3E
CL:0000625	CD3D
CL:0000625	CD8A
CL:0000625	ZNF609
CL:0000625	GADD45A
CL:0000625	CD3D
CL:0000625	CD8B
CL:0000625	CD8A
CL:0000625	PRDM1
CL:0000625	CD3G
CL:0000625	NKG7
CL:0000653	GPRC5A
CL:0000653	LRRC49
CL:0000653	CLIC5
CL:0000653	VEGFA
CL:0000653	NPHS1
CL:0000653	PLOD2
CL:0000653	TCF21
CL:0000653	SYNPO
CL:0000653	LUC7L2
CL:0000653	MYO1D
CL:0000653	CDH6
CL:0000653	CTGF
CL:0000653	ADCY1
CL:0000653	ITGB5
CL:0000653	FOXC2
CL:0000653	RAB3B
CL:0000653	NPHS2
CL:0000653	EFNB1
CL:0000653	EPB41L5
CL:0000653	COL4A3
CL:0000653	PODXL
CL:0000653	COL4A4
CL:0000653	PTH1R
CL:0000653	PODXL
CL:0000653	ZFP91
CL:0000653	THSD7A
CL:0000653	CDH1
CL:0000653	AJUBA
CL:0000653	NPHS1
CL:0000653	AIF1L
CL:0000653	MERTK
CL:0000653	IQGAP2
CL:0000653	SH2D4A
CL:0000653	NPHS2
CL:0000653	ANGPTL2
CL:0000653	NPHS1
CL:0000653	EMC7
CL:0000653	LOXL2
CL:0000653	LCN2
CL:0000653	PTPRO
CL:0000653	NPHS2
CL:0000653	CD2AP
CL:0000653	WSB2
CL:0000653	MET
CL:0000653	CD80
CL:0000653	LMX1B
CL:0000653	SLC2A4
CL:0000653	DACH1
CL:0000653	ILDR2
CL:0000653	NPHS2
CL:0000653	EHD4
CL:0000653	ZBTB8A
CL:0000653	DOCK1
CL:0000653	GOLIM4
CL:0000653	SEMA3E
CL:0000653	LAMA3
CL:0000653	MYOC
CL:0000653	NLRP3
CL:0000653	TRIB2
CL:0000653	ARHGAP24
CL:0000653	JAG1
CL:0000653	ADAMTS13
CL:0000653	ADM
CL:0000653	OPTN
CL:0000653	TCF21
CL:0000653	TOB1
CL:0000653	DOCK5
CL:0000653	TDRD5
CL:0000653	CTNNAL1
CL:0000653	BCAM
CL:0000653	KANK1
CL:0000653	CD49C
CL:0000653	FAT1
CL:0000653	NPHS3
CL:0000653	CDH13
CL:0000653	NPHS2
CL:0000653	SEMA3G
CL:0000653	SYNPO
CL:0000653	NPR3
CL:0000653	CDKN1C
CL:0000653	ETF1
CL:0000653	PROS1
CL:0000653	EZR
CL:0000653	NEBL
CL:0000653	MYO1E
CL:0000653	WT1
CL:0000653	SRGAP1
CL:0000653	EMC2
CL:0000653	MAPT
CL:0000653	COL4A5
CL:0000653	NPR1
CL:0000653	TENC1
CL:0000653	FOXC1
CL:0000653	FKHL8
CL:0000653	PLEKHH2
CL:0000653	CORO2B
CL:0000653	RHPN1
CL:0000653	MAFB
CL:0000653	PARD3B
CL:0000653	WT1
CL:0000653	DES
CL:0000653	SULF1
CL:0000653	CRB2
CL:0000653	HSPB8
CL:0000653	DPP4
CL:0000653	ENPEP
CL:0000653	LAMB2
CL:0000653	MAGI2
CL:0000669	PDGFRB
CL:0000669	CSPG4
CL:0000669	ABCC9
CL:0000669	PDGFRB
CL:0000669	CSPG4
CL:0000669	PDGFRB
CL:0000669	COG7
CL:0000669	PECAM1
CL:0000669	CYP1B1
CL:0000669	ANGPT2
CL:0000669	CSPG4
CL:0000669	CSPG4
CL:0000669	PTPRC
CL:0000669	GLI1
CL:0000669	MCAM
CL:0000669	CSPG4
CL:0000669	MCAM
CL:0000669	PTH1R
CL:0000669	CD44
CL:0000669	FABP4
CL:0000669	KCNJ8
CL:0000669	ANPEP
CL:0000669	RGS5
CL:0000669	RARRES2
CL:0000669	NT5E
CL:0000669	PDGFRB
CL:0000669	CSPG4
CL:0000669	KCNJ8
CL:0000669	ALPHA-SMA
CL:0000669	ALPHA-SMA
